USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.2 167724  9884 ?        Ss   10:27   0:03 /sbin/init splash
xlp         1773  0.0  0.2 632028 10772 ?        Ssl  10:27   0:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
xlp         1787  0.0  5.3 4330308 212412 ?      Ssl  10:27   0:32 /usr/bin/gnome-shell
xlp         1809  0.0  0.1 319548  6736 ?        Sl   10:27   0:00 ibus-daemon --panel disable --xim
xlp         1813  0.0  0.1 245156  5676 ?        Sl   10:27   0:00 /usr/libexec/ibus-dconf
xlp         1814  0.0  0.6 284324 24908 ?        Sl   10:27   0:01 /usr/libexec/ibus-extension-gtk3
xlp         1817  0.0  0.5 206568 21848 ?        Sl   10:27   0:00 /usr/libexec/ibus-x11 --kill-daemon
xlp         1820  0.0  0.1 245136  5796 ?        Sl   10:27   0:00 /usr/libexec/ibus-portal
xlp         1831  0.0  0.1 162836  6232 ?        Sl   10:27   0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
xlp         1835  0.0  0.0 244228  3720 ?        Ssl  10:27   0:00 /usr/libexec/xdg-permission-store
xlp         1840  0.0  0.2 581068 11292 ?        Sl   10:27   0:00 /usr/libexec/gnome-shell-calendar-server
xlp         1848  0.0  0.3 1078796 14536 ?       Ssl  10:27   0:00 /usr/libexec/evolution-source-registry
xlp         1855  0.0  0.3 847276 15536 ?        Ssl  10:27   0:00 /usr/libexec/evolution-calendar-factory
xlp         1865  0.0  0.1 156232  4760 ?        Sl   10:27   0:00 /usr/libexec/dconf-service
xlp         1866  0.0  0.3 755508 14524 ?        Ssl  10:27   0:00 /usr/libexec/evolution-addressbook-factory
xlp         1879  0.0  0.5 2877492 20008 ?       Sl   10:27   0:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
xlp         1892  0.0  0.1 322588  6744 ?        Sl   10:27   0:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
xlp         1908  0.0  0.1 318244  5828 ?        Ssl  10:27   0:00 /usr/libexec/gsd-a11y-settings
xlp         1912  0.0  0.5 576520 23292 ?        Ssl  10:27   0:00 /usr/libexec/gsd-color
xlp         1913  0.0  0.2 382208 11004 ?        Ssl  10:27   0:00 /usr/libexec/gsd-datetime
xlp         1914  0.0  0.1 320312  6520 ?        Ssl  10:27   0:00 /usr/libexec/gsd-housekeeping
xlp         1915  0.0  0.5 354492 22448 ?        Ssl  10:27   0:00 /usr/libexec/gsd-keyboard
xlp         1917  0.0  0.6 909760 24344 ?        Ssl  10:27   0:00 /usr/libexec/gsd-media-keys
xlp         1920  0.0  0.5 502404 22876 ?        Ssl  10:27   0:00 /usr/libexec/gsd-power
xlp         1925  0.0  0.2 256852  9132 ?        Ssl  10:27   0:00 /usr/libexec/gsd-print-notifications
xlp         1926  0.0  0.1 465732  5024 ?        Ssl  10:27   0:00 /usr/libexec/gsd-rfkill
xlp         1928  0.0  0.1 244140  5288 ?        Ssl  10:27   0:00 /usr/libexec/gsd-screensaver-proxy
xlp         1937  0.0  0.1 231800  4452 ?        Sl   10:27   0:00 /usr/libexec/gsd-disk-utility-notify
xlp         1940  0.0  0.8 648300 32316 ?        Sl   10:27   0:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
xlp         1945  0.0  0.2 473364  8160 ?        Ssl  10:27   0:00 /usr/libexec/gsd-sharing
xlp         1948  0.0  0.1 323748  6988 ?        Ssl  10:27   0:00 /usr/libexec/gsd-smartcard
xlp         1952  0.0  0.1 327940  7888 ?        Ssl  10:27   0:00 /usr/libexec/gsd-sound
xlp         1954  0.0  0.1 467288  6200 ?        Ssl  10:27   0:00 /usr/libexec/gsd-usb-protection
